canon,imb,lambda,n,reg_m,reg_s,reg_med,mse_m,mse_s,fair_m,fair_s,time_m,n_total,class
FPTO,0.0,0.0,5,0.5393171717747143,0.006464465727419294,0.5379558514068679,5.136126006230372,0.12726158055817757,0.16026384601499336,0.018377502870313145,1.3924040736000052,5,Baseline (fair)
FPTO,0.0,0.5,5,0.5392463487533158,0.00644864911773341,0.5379015719308686,5.1338875886920885,0.1277800866107508,0.16013648286184684,0.018415937586493132,1.5127421742000025,5,Baseline (fair)
FPTO,0.0,1.0,5,0.5391752537942016,0.006434301232160248,0.5378450831715054,5.1316399298690065,0.12830663481442867,0.16000878564102985,0.018455540080659586,1.457324296399952,5,Baseline (fair)
PTO,0.0,0.0,5,0.5393171717747143,0.006464465727419294,0.5379558514068679,5.136126006230372,0.12726158055817757,0.16026384601499336,0.018377502870313145,1.740229132200011,5,Baseline (unfair)
DFL,0.0,0.0,4,0.30204605057072914,0.054954227205980095,0.324204639381026,17.954337110330254,9.191250241481503,1.4023067981654522,0.6382371539285774,240.11742866075002,5,Decision-focused
FDFL,0.0,0.0,4,0.30204605057072914,0.054954227205980095,0.324204639381026,17.954337110330254,9.191250241481503,1.4023067981654522,0.6382371539285774,222.23809295324997,5,Decision-focused + fair
FDFL,0.0,0.5,5,0.27198727669601935,0.03600341443149324,0.2734382997959337,14.513152534048618,7.747717640567136,1.258467278986635,0.6648490242776987,202.3644023643999,5,Decision-focused + fair
FDFL,0.0,1.0,5,0.32832891726825625,0.06928266579774406,0.3361106813292649,17.585308702559857,7.97900944297453,1.5320367045697876,0.7440508345802614,234.14806798140012,5,Decision-focused + fair
FDFL,0.0,2.0,5,0.28779532921827344,0.07528939578414531,0.2518297274083085,15.994533954011104,16.769375676286852,1.3731024115554982,1.2229665332793782,219.25836428519992,5,Decision-focused + fair
MGDA,0.0,0.0,4,0.4295219234893021,0.13551781627013162,0.4260296689522442,4.4052861634481015,0.8799771505048648,0.2267254780779408,0.05956347864539028,388.47965613250005,5,MOO
PCGrad,0.0,0.0,5,0.18947945594904927,0.005709540724972835,0.1891621182738482,1.1624061657726457,0.047821188774218794,0.060035074805451706,0.02764276182664722,110.67931797199996,5,MOO
FPLG-kappa1,0.0,0.0,5,0.4641380516176542,0.024701308978480906,0.4548998697543249,4.704506267360991,0.2851380747421506,0.17692674639774753,0.03475661421255166,36.84692260620004,5,Prediction-anchor (with fair)
FPLG-kappa1,0.0,1.0,5,0.3625033631648454,0.03439103017220356,0.3627495639861756,3.7924720175847595,0.5641975543741511,0.19779510514596238,0.0787137931810861,59.9240850016,5,Prediction-anchor (with fair)
FDFL-Scal-mu0.1,0.0,0.0,5,0.46472383699485337,0.024333602016194198,0.4526674034863017,4.842434249563181,0.25259179713903496,0.17905721411619963,0.0316760478982391,36.559567349000055,5,Scalarized
FDFL-Scal-mu0.1,0.0,0.5,5,0.46462248358788144,0.024373102925781282,0.4526068517608537,4.839039750704872,0.2539611065444356,0.17894068903213062,0.03182136007985101,33.484385620599916,5,Scalarized
FDFL-Scal-mu0.1,0.0,1.0,5,0.46452499964641925,0.02441316164572075,0.4525584632399139,4.835648992996709,0.25531405083177605,0.1788229538239228,0.031974240489012,33.69733140899998,5,Scalarized
FDFL-Scal-mu0.1,0.0,2.0,5,0.46431564866721214,0.024502647677114225,0.4524197978552673,4.8287892820088265,0.258179273764822,0.1786073457321254,0.03226743041090043,31.438113296799976,5,Scalarized
FDFL-Scal-mu1,0.0,0.0,5,0.46726311127717574,0.024662519639429902,0.4685455384873377,4.147595280296928,0.40781576430375227,0.16475408804641753,0.04287709979447559,33.526415101999966,5,Scalarized
FDFL-Scal-mu1,0.0,0.5,5,0.46714614600742727,0.024703117701376693,0.4684859662912664,4.142587806893031,0.40948859818647637,0.16452266782790495,0.043050839259618515,32.304638179000015,5,Scalarized
FDFL-Scal-mu1,0.0,1.0,5,0.4670289653762154,0.02474840720061593,0.4684267288252548,4.137585974748864,0.4111784824369772,0.16428238723572522,0.0432225812462644,31.590920561999997,5,Scalarized
FDFL-Scal-mu1,0.0,2.0,5,0.4667969431988516,0.02483622890832346,0.4683003604179846,4.1275565986883125,0.4144644725002921,0.1637988760016692,0.04359443766285345,30.00631936219993,5,Scalarized
